Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1970,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Rates given here exclude the effect of a 2.5 percent surtax. Last law to change rates was the Tax Reform Act of 1969
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",20.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",25.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",27.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",31.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",32.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",35.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",36.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",40.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",41.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",43.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",45.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",46.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",48.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",50.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",52.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",53.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1969,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Rates given here exclude the effect of 10 percent surtax. Last law to change rates was the Tax Reform Act of 1969
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",20.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",25.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",27.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",31.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",32.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",35.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",36.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",40.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",41.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",43.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",45.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",46.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",48.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",50.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",52.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",53.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1968,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Rates given here exclude the effect of a 7.5 percent surtax. Last law to change rates was the Tax Reform Act of 1964.
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",20.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",25.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",27.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",31.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",32.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",35.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",36.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",40.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",41.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",43.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",45.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",46.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",48.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",50.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",52.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",53.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1967,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Last law to change rates was the Tax Reform Act of 1964.
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",20.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",25.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",27.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",31.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",32.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",35.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",36.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",40.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",41.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",43.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",45.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",46.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",48.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",50.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",52.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",53.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1966,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Last law to change rates was the Tax Reform Act of 1964.
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",20.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",25.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",27.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",31.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",32.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",35.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",36.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",40.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",41.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",43.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",45.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",46.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",48.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",50.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",52.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",53.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1965,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Last law to change rates was the Tax Reform Act of 1964.
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",20.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",25.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",27.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",31.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",32.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",35.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",36.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",40.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",41.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",43.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",45.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",46.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",48.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",50.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",52.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",53.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1964,16.0%,>,$0,16.0%,>,$0,16.0%,>,$0,16.0%,>,$0,Last law to change rates was the Tax Reform Act of 1964.
,16.5%,>,"$1,000",16.5%,>,$500,16.5%,>,$500,17.5%,>,"$1,000",
,17.5%,>,"$2,000",17.5%,>,"$1,000",17.5%,>,"$1,000",19.0%,>,"$2,000",
,18.0%,>,"$3,000",18.0%,>,"$1,500",18.0%,>,"$1,500",22.0%,>,"$4,000",
,20.0%,>,"$4,000",20.0%,>,"$2,000",20.0%,>,"$2,000",23.0%,>,"$6,000",
,23.5%,>,"$8,000",23.5%,>,"$4,000",23.5%,>,"$4,000",27.0%,>,"$8,000",
,27.0%,>,"$12,000",27.0%,>,"$6,000",27.0%,>,"$6,000",29.0%,>,"$10,000",
,30.5%,>,"$16,000",30.5%,>,"$8,000",30.5%,>,"$8,000",32.0%,>,"$12,000",
,34.0%,>,"$20,000",34.0%,>,"$10,000",34.0%,>,"$10,000",34.0%,>,"$14,000",
,37.5%,>,"$24,000",37.5%,>,"$12,000",37.5%,>,"$12,000",37.5%,>,"$16,000",
,41.0%,>,"$28,000",41.0%,>,"$14,000",41.0%,>,"$14,000",39.0%,>,"$18,000",
,44.5%,>,"$32,000",44.5%,>,"$16,000",44.5%,>,"$16,000",42.5%,>,"$20,000",
,47.5%,>,"$36,000",47.5%,>,"$18,000",47.5%,>,"$18,000",43.5%,>,"$22,000",
,50.5%,>,"$40,000",50.5%,>,"$20,000",50.5%,>,"$20,000",45.5%,>,"$24,000",
,53.5%,>,"$44,000",53.5%,>,"$22,000",53.5%,>,"$22,000",47.0%,>,"$26,000",
,56.0%,>,"$52,000",56.0%,>,"$26,000",56.0%,>,"$26,000",48.5%,>,"$28,000",
,58.5%,>,"$64,000",58.5%,>,"$32,000",58.5%,>,"$32,000",51.5%,>,"$32,000",
,61.0%,>,"$76,000",61.0%,>,"$38,000",61.0%,>,"$38,000",53.0%,>,"$36,000",
,63.5%,>,"$88,000",63.5%,>,"$44,000",63.5%,>,"$44,000",54.0%,>,"$38,000",
,66.0%,>,"$100,000",66.0%,>,"$50,000",66.0%,>,"$50,000",56.0%,>,"$40,000",
,68.5%,>,"$120,000",68.5%,>,"$60,000",68.5%,>,"$60,000",58.5%,>,"$44,000",
,71.0%,>,"$140,000",71.0%,>,"$70,000",71.0%,>,"$70,000",59.5%,>,"$50,000",
,73.5%,>,"$160,000",73.5%,>,"$80,000",73.5%,>,"$80,000",61.0%,>,"$52,000",
,75.0%,>,"$180,000",75.0%,>,"$90,000",75.0%,>,"$90,000",62.0%,>,"$60,000",
,76.5%,>,"$200,000",76.5%,>,"$100,000",76.5%,>,"$100,000",63.5%,>,"$64,000",
,77.0%,>,"$400,000",77.0%,>,"$200,000",77.0%,>,"$200,000",65.0%,>,"$70,000",
,,,,,,,,,,66.0%,>,"$76,000",
,,,,,,,,,,67.0%,>,"$80,000",
,,,,,,,,,,69.0%,>,"$88,000",
,,,,,,,,,,69.5%,>,"$90,000",
,,,,,,,,,,71.0%,>,"$100,000",
,,,,,,,,,,72.5%,>,"$120,000",
,,,,,,,,,,74.0%,>,"$140,000",
,,,,,,,,,,75.0%,>,"$160,000",
,,,,,,,,,,75.5%,>,"$180,000",
,,,,,,,,,,77.0%,>,"$200,000",
,,,,,,,,,,,,,
1963,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1962,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
